id,nombre,cantidad,precio_oferta,precio,precioPorKilo,categoria
415003,BITTER COAL,DORÈ/ROSSO,1.74,2.49,<nil>,Bevande
415033,BIRRA DREHER ,CL 33X3,<nil>,2.29,<nil>,Bevande
415045,CAPS CAFFÈ ESPRESSO COAL,COMPATIBILI NESPRESSO,1.99,2.49,0.0000,Alimentari
415187,DADO COAL,CLASSICO / VEGETALE,0.62,0.89,0.0000,Alimentari
415276,OLIVOLI' NERE MORATE,SNOCCIOLATE SACLÀ,<nil>,0.99,13.2000,Alimentari
414683,GIRELLE DI CARNE EUROPOLLI ,AL KG,<nil>,13.90,0.0000,Macelleria
414916,SNACK NESQUIK NESTLE' ,LATTE/CACAO,<nil>,1.69,13.0000,Self service
415188,PISELLI FINI ,COAL,0.94,1.35,4.0900,Alimentari
415308,RETTANGOLARE 35x24 CM,35 PUNTI + 19.90€,<nil>,19.90,<nil>,Casa e cucina
414654,MARMELLATA/CONFETTURA EXTRA ,COAL,1.31,2.19,1310.0000,Alimentari
414677,HAMBURGER DI SCOTTONA ,,<nil>,12.90,0.0000,Macelleria
414760,BRESAOLA DELLA VALTELLINA IGP COAL ,G 90 ,3.27,4.09,36.3300,Gastronomia
414827,YOGURT INTERO VIPITENO,VARI TIPI,<nil>,0.69,2.7600,Self service
414880,PROVOLONE SORESINA,CIRCA G 700,<nil>,8.99,12.8400,Gastronomia
414948,PETTO DI POLLO/TACCHINO AL FORNO AEQUILIBRIUM AIA ,G 120 - G 130 ,<nil>,1.99,0.0000,Gastronomia
415085,PIADINA COAL,G 330,0.89,1.79,2.7000,Alimentari
415123,RIO MARE ,TONNO AL NATURALE ,<nil>,2.99,17.8000,Alimentari
414653,FRAGOLE ,G 500 ,<nil>,1.99,3.9800,Ortofrutta
414705,SALSICCIA DI POLLO MARTINI ,G 360,<nil>,2.99,8.3100,Macelleria
414753,FORMAGGIO ASIAGO DOP,COAL,2.95,3.69,11.8000,Self service
414769,FIORDILATTE STASI ,,<nil>,1.19,11.9000,Gastronomia
414910,PREPARATO DOLCE VEGETALE HOPLA' ,ML 500 ,<nil>,1.79,0.0000,Alimentari
415096,GALLETTE BIO OHI VITA,RISO/MAIS/RISO E MAIS,<nil>,1.00,7.6900,Alimentari
415191,ANTIPASTO SACLÀ,G 280,<nil>,1.99,7.1100,Alimentari
415194,ACETO DI VINO,COAL,0.79,0.99,0.0000,Alimentari
414777,BEL PAESE GALBANI ,,<nil>,1.29,12.9000,Gastronomia
414945,SPECK AFFETTATO COAL ,G 100 ,1.73,2.89,17.3000,Gastronomia
415040,MERLOT IGP LEONARDI ,CL 75,<nil>,4.69,0.0000,Bevande
415092,PESTI BARILLA,VARI TIPI,<nil>,1.99,0.0000,Alimentari
415106,PANE BIANCO A FETTE COAL,G 300,0.95,1.19,3.1700,Alimentari
415133,FUNGHI COLTIVATI COAL,G 170,1.97,3.29,11.5900,Alimentari
415214,SACCHI NETTEZZA NERI,COAL,1.32,1.89,0.0000,Casa e cucina
414688,PEPITE DI POLLO E TACCHINO ,AL KG ,<nil>,12.90,0.0000,Macelleria
415209,TOVAGLIOLO DAYLY,1 VELO 33X33 CM,<nil>,1.19,0.0000,Casa e cucina
415275,OLIVE NERE PUCCI,INTERE/ DENOCCIOLATE,<nil>,1.39,0.0000,Alimentari
415287,BASTONCINI COTONE COAL ,X100 PZ,0.57,1.15,<nil>,Igiene persona
415309,BISTECCHIERA 28X28 CM ,30 PUNTI + 15.90€,<nil>,15.90,<nil>,Casa e cucina
414685,ARISTA DI SUINO ALLE PRUGNE ,AL KG ,<nil>,9.90,0.0000,Macelleria
414730,GORGONZOLA DOLCE DOP ,ARRIGONI,<nil>,2.99,14.9500,Gastronomia
414820,BURRO COAL,G 125,1.46,2.09,11.6800,Self service
414848,LASAGNE SFOGLIAVELO RANA ,PROSCIUTTO CRUDO/RICOTTA E SPINACI ,<nil>,2.99,11.9600,Alimentari
414963,POTATO POPS MC CAIN ,G 500 ,<nil>,2.29,4.5800,Surgelati
415042,CIALDE CAFFÈ ESPRESSO BAR,GRAN AROMA,2.09,2.99,<nil>,Alimentari
415044,PLUMCAKE MULINO BIANCO,X 10PZ,<nil>,1.99,6.0300,Alimentari
